,title,director,cast,country,release_year,rating,budget,revenue,runtime,movie_id,genre,streaming
265,Killer Klowns from Outer Space,Stephen Chiodo,"Grant Cramer, Suzanne Snyder, John Allen Nelson, John Vernon, Michael S. Siegel, Peter Licassi, Royal Dano, Christopher Titus, Irene Michaels, Karla Sue Krull",United States,1988,PG-13,2000000.0,43625095.0,88.0,16296.0,"Comedy,Horror,Science Fiction,",Netflix
266,KL Zombi,Woo Ming Jin,"Zizan Razak, Siti Saleha, Zain Hamid, Izara Aishah, Fadzli Daniel Ali, Usop Wilcha",Malaysia,2013,PG-13,0.0,0.0,97.0,217930.0,"Horror,Comedy,Thriller,",Netflix
267,Knock Knock,Eli Roth,"Keanu Reeves, Lorenza Izzo, Ana de Armas, Aaron Burns, Ignacia Allamand, Dan Baily, Megan Baily, Colleen Camp, Antonio Quercia","United States, Chile, Israel",2015,R,2500000.0,6341684.0,99.0,263472.0,"Drama,Thriller,Horror,",Netflix
268,Kristy,Oliver Blackburn,"Haley Bennett, Ashley Greene, Erica Ash, Lucas Till, Chris Coy, Al Vicente, Wayne Pére, Jon Arthur, Mike Seal",United States,2013,NR,6900000.0,0.0,86.0,146229.0,"Thriller,Horror,",Netflix
269,Laddaland,Sopon Sukdapisit,"Saharat Sangkapreecha, Pok Piyatida Woramusik, Sutatta Udomsilp, Athipich Chutiwatkajornchai, Deuntem Salitul, Sahajak Boonthanakit",Thailand,2011,R,0.0,0.0,117.0,64215.0,"Horror,Drama,",Netflix
270,Last Night,Massy Tadjedin,"Keira Knightley, Sam Worthington, Guillaume Canet, Eva Mendes, Griffin Dunne, Anson Mount, Stephanie Romanov, Scott Adsit, Daniel Eric Gold","United States, France",2010,R,43000000.0,22957625.0,117.0,576845.0,"Horror,Mystery,Thriller,",Netflix
271,Lechmi,B.N. Shajeer Sha,"Parvathy Ratheesh, Biju Sopanam, Sethulekshmi Amma, Molly Angamaly",India,2017,R,0.0,0.0,150.0,471714.0,"Thriller,Horror,Comedy,",Netflix
272,Legion,Scott Stewart,"Paul Bettany, Lucas Black, Tyrese Gibson, Adrianne Palicki, Charles S. Dutton, Jon Tenney, Kevin Durand, Willa Holland, Kate Walsh, Dennis Quaid, Jeanette Miller, Cameron Harlow, Doug Jones, Josh Stamberg, Yancey Arias",United States,2010,R,26000000.0,67918658.0,100.0,22894.0,"Horror,Action,Fantasy,",Netflix
273,Life After Beth,Jeff Baena,"Aubrey Plaza, Dane DeHaan, John C. Reilly, Molly Shannon, Cheryl Hines, Paul Reiser, Matthew Gray Gubler, Anna Kendrick, Paul Weitz",United States,2014,R,2400000.0,88273.0,90.0,244566.0,"Romance,Comedy,Horror,",Netflix
274,Lifechanger,Justin McConnell,"Lora Burke, Jack Foley, Bill Oberst Jr., Elitsa Bako, Sam James White, Rachel Vanduzer, Steve Kasan",Canada,2018,R,0.0,0.0,84.0,532645.0,"Horror,Thriller,",Netflix
275,Lincoln,Steven Spielberg,"Daniel Day-Lewis, Sally Field, David Strathairn, Joseph Gordon-Levitt, James Spader, Hal Holbrook, Tommy Lee Jones, Jackie Earle Haley, John Hawkes, Jared Harris, Joseph Cross, Tim Blake Nelson, David Oyelowo, Bruce McGill","United States, India",2012,PG-13,69000000.0,116471580.0,105.0,72331.0,"Action,Fantasy,Horror,",Netflix
276,Little Lunch: The Halloween Horror Story,Tim Bartley,"Flynn Curry, Olivia Deeble, Madison Lu, Oisín O'Leary, Faith Seci, Joshua Sitch, Heidi Arena, Wayne Hope",Australia,2016,PG,0.0,0.0,13.0,641495.0,"Comedy,Horror,",Netflix
277,Lupt,Prabhuraj,"Javed Jaffrey, Vijay Raaz, Karan Aanand, Niki Walia, Meenakshi Dixit, Rishabh Chaddha, Rishina Kandhari, Kiearra Soni",India,2018,PG-13,0.0,0.0,117.0,538126.0,"Horror,Thriller,",Netflix
278,Mad Ron's Prevues from Hell,Jim Monaco,"Nick Pawlow, Jordu Schell, Jay Kushwara, Michael Townsend Wright, Anthony Kelly, Happy Goldsplatt, Ron Roccia, Fred Pomerleau, Joe Amodei, Nicholas Kitsopoulos",United States,1987,NR,0.0,0.0,83.0,86632.0,"Horror,",Netflix
279,Madre,Aaron Burns,"Daniela Ramírez, Cristobal Tapia Montt, Aida, Matías Bassi, Nicolás Durán, Ignacia Allamand",Chile,2016,R,0.0,0.0,97.0,438463.0,"Thriller,Horror,",Netflix
280,Malicious,Michael Winnick,"Bojana Novakovic, Josh Stewart, Delroy Lindo, Melissa Bolona, Yvette Yates, Luke Edwards, Jaqueline Fleming, Ben VanderMey, Presley Richardson, Joy Kate Lawson",United States,2018,R,3500000.0,0.0,90.0,426375.0,"Thriller,Horror,",Netflix
281,Mantra,Nicholas Kharkongor,"Rajat Kapoor, Lushin Dubey, Kalki Koechlin, Shiv Pandit, Adil Hussain, Rohan Joshi, Yuri Suri, Maya Krishna Rao",India,2017,PG-13,0.0,0.0,103.0,933138.0,"Thriller,Horror,",Netflix
282,Mara,Clive Tonge,"Olga Kurylenko, Javier Botet, Mitch Eakins, Lance E. Nichols, Rosie Fellner, Mackenzie Imsand, Dandy Barrett, Craig Conway, Melissa Bolona",United Kingdom,2017,R,5000000.0,470901.0,100.0,514277.0,"Crime,Horror,Thriller,",Netflix
283,Medium,Jacek Koprowicz,"Władysław Kowalski, Michał Bajor, Jerzy Zelnik, Jerzy Stuhr, Grażyna Szapołowska, Jerzy Nowak, Ewa Dałkowska, Piotr Machalica, Zygmunt Zintel, Henryk Bista","Poland, West Germany",1985,R,1000000.0,0.0,111.0,71511.0,"Fantasy,Horror,Thriller,",Netflix
284,Moor,Jami,"Hameed Sheikh, Samiya Mumtaz, Shaz Khan, Abdul Qadir, Shabbir Rana, Sultan Hussain, Ayaz Samoo, Nayyar Ejaz, Sonia Hussain","Pakistan, United States",2015,PG-13,0.0,0.0,76.0,279994.0,"Horror,Thriller,",Netflix
285,My Babysitter's a Vampire: The Movie,Bruce McDonald,"Matthew Knight, Vanessa Morgan, Atticus Mitchell, Cameron Kennedy, Kate Todd, Joe Dinicol, Ella Jonas Farlinger, Ari Cohen, Laura de Carteret, Hrant Alianak",Canada,2010,PG,0.0,0.0,80.0,63700.0,"Adventure,Comedy,Family,Fantasy,TV Movie,Horror,",Netflix
